단어,주요뜻,메모,암기여부,저장날짜
data,데이터|자료|정보,,미암기,2010-11-15 09:44:30
presentation,프레젠테이션|발표|설명|제출,,미암기,2010-11-15 09:42:37
botch,…을 망쳐 놓다|종기|엉성한 일,,미암기,2010-11-15 09:42:37
end up,...게 되다|결국 ... 되다|끝나다|...고 말았다,"1)끝나다, &lt;구어&gt; 마침내는 ~으로 되다.
Of course, I wanted to teach music someday, but I always thought that I would end up in a band. 물론 저도 언젠가는 음악을 가르치고 싶었어요. 하지만 늘 악단에 종사하게 되는 것으로 생각이 끝나네요.
",미암기,2010-11-15 09:42:37
frankly,솔직히|사실,,미암기,2010-11-15 09:39:35
answer,답하다|대답|해답|전화를 받다|응답하다,,미암기,2010-11-15 09:39:35
show,보여주다|쇼|나타나다|보이고 있다|전시회,"1)보이다, 안내하다, 보이기, 구경거리
",미암기,2010-11-15 09:39:35
deal,다루다|거래|대처하다|주다|계약,,미암기,2010-11-15 09:39:35
tough,힘든|어려운|강한|터프한|거친,,미암기,2010-11-15 09:39:35
disagreement,이견|불일치|불화|논쟁,,미암기,2010-11-15 09:39:35
negotiation,협상|교섭|협의|거래,,미암기,2010-11-15 09:39:35
at least,최소한|적어도|적게는|보수적으로|어쨌든,"1)[보통 수사 앞에 써서] 적어도, 하다 못해
Ex&gt;I don't know why, but my car seems to break down at least on-ce a month. 
어찌된 일인지 차가 한 달에 적어도 한 번씩은 고장이 나요.
",미암기,2010-11-11 10:35:21
experience,경험|체험|겪다|느끼다|경력,,미암기,2010-11-11 10:34:13
hire,고용하다|채용하다|뽑다|사람을 쓰다|빌리다,,미암기,2010-11-11 10:34:13
fire,화재|불|발사하다|소방의|해고하다,,미암기,2010-11-08 10:35:44
never,결코|절대|전혀|설마,,미암기,2010-11-08 10:35:44
sluggish,느린|부진한|게으른,,미암기,2010-11-08 10:35:44
economy,경제|경기|이코노미,,미암기,2010-11-08 10:33:30
downsize,축소하다|소형화하다|줄이다,,미암기,2010-11-08 10:33:30
lighting,조명|점화|점등,,미암기,2010-11-08 10:33:30
completely,완전히|완벽하게|모두|전적으로|철저히,,미암기,2010-11-08 10:33:30
mood,기분|분위기|무드|감정|마음,,미암기,2010-11-08 10:33:30
capture,잡다|포착|체포|캡처|담다,,미암기,2010-11-08 10:33:30
hobby,취미,,미암기,2010-11-08 10:33:30
photography,사진,,미암기,2010-11-08 10:33:30
drawing,그림|도면|끌기|선|스케치,,미암기,2010-11-08 10:31:45
clay,점토|진흙|클레이,,미암기,2010-11-08 10:31:45
musician,음악가|뮤지션|가수,,미암기,2010-11-08 10:31:45
excellent,훌륭한|좋다|뛰어난|우수한|수의,,미암기,2010-11-08 10:31:45
amazing,놀라운|멋진|대단한|흥미로운,,미암기,2010-11-08 10:31:45
nod off,꾸벅꾸벅 졸다|앉은 채 졸다|잠들다,"1)Studies cited in Moore Ede's book found that a startling 33 percent of all drivers have nodded off behind the wheel at on-e time or another. 
무어 에데의 책에 인용된 연구들에 따르면 놀랍게도 모든 운전자의 33퍼센트가 운전대를 잡고 졸은 적이 있다는 것입니다.

",미암기,2010-11-08 10:29:09
exam,시험|조사,,미암기,2010-11-07 14:16:39
joke,농담|장난|놀리다|재담,,미암기,2010-11-07 14:16:39
cheat,속이다|부정 행위|바람 피우다|속임수|사기꾼,,미암기,2010-11-07 14:16:39
work on,작업하다|수리하다|…에 작용하다,"1)Double-click the picture that is on the page you want to work on. 
작업할 페이지에 있는 그림을 두 번 누르십시오.

",미암기,2010-11-07 14:16:39
awful,끔찍한|엄청난|지독한|심한|무서운,,미암기,2010-11-07 14:16:39
juvenile,청소년의|아이다운|유치한,,미암기,2010-11-07 14:15:11
oops,이런|아차|아이코,,미암기,2010-11-07 14:15:11
elevator,엘리베이터,,미암기,2010-11-07 14:15:11
no way,절대로 안 돼|천만의 말씀|싫어,,미암기,2010-11-07 14:15:11
club,클럽|동아리|팀|골프채|구단,,미암기,2010-11-07 14:15:11
breathtaking,아슬아슬한|깜짝 놀랄 만한|숨이 멎을만큼 놀라운,,미암기,2010-11-07 14:12:46
much less,훨씬 더 적은|더군다나 …아니다,"1)Animals with nervous systems similar to a worm's cannot play soccer, much less chess. 
벌레와 비슷한 신경계를 가진 동물들은 축구를 할 수 없고, 더군다나 체스는 말할 것도 없어요.
",미암기,2010-11-07 14:12:46
watermelon,수박|그 과일,,미암기,2010-11-07 14:12:46
get to,되다|가다|도착하다|시작하다|싶다,"1)~에 도착하다, [일]에 착수하다.
Ex&gt;Excuse me, which station should I get off at to get to the Metropolitan Museum??
실례지만 메트로폴리탄 박물관에 가려면 어느 역에 서 내려야 하나요?
",미암기,2010-11-07 14:12:46
make it,만들다|성공하다|해내다|도착하다|극복하다,,미암기,2010-11-05 09:19:24
look at,보다|살펴보다|쳐다보다|조사하다|관찰하다,"1)He looked at me incredulously. 그는 믿을 수 없다는 듯이 나를 바라보았습니다.

",미암기,2010-11-05 09:16:45
guy,사람|남자|너희들|친구|녀석,,미암기,2010-11-05 09:16:45
ugly,추한|불쾌한,,미암기,2010-11-05 09:16:45
old,나이든|오래된|노인|늙은|낡은,,미암기,2010-11-05 09:16:45
necktie,넥타이,,미암기,2010-11-05 09:16:45
glad,기쁜|좋은|다행인|고마운|반가운,"1)기쁜, 즐거운, 밝은
",미암기,2010-11-05 09:16:45
bridesmaid,신부 들러리|후원자|조연,,미암기,2010-11-04 14:08:46
invitation,초대|초청|참석|제의|신청,,미암기,2010-11-04 14:08:46
send out,배포하다|내다|가져 오도록 주문하다,"1)Did you send out that package I gave you earlier? It's quite urgent.
제가 전에 준 소포 보냈어요? 급한 건데.
",미암기,2010-11-04 14:08:46
dead,죽은|시신|사망|다 되다|돌아가신,,미암기,2010-11-04 14:08:46
funeral,장례의|상례|국민장|장의|영결식,,미암기,2010-11-04 14:08:46
snowy,눈 오는|순백의|눈 덮인,,미암기,2010-11-04 14:05:51
dress up,정장을 해야 하는|정장|복장을 제대로 갖추어야 하는,,미암기,2010-11-04 14:05:51
fat,지방|비만한|뚱뚱한|기름|살찐,,미암기,2010-11-03 11:20:32
serious,심각한|진지한|정말|중대한|위험한,,미암기,2010-11-03 11:20:32
painkiller,진통제,,미암기,2010-11-03 11:20:32
sell,팔다|판매하다|매각하다|매도하다|매출,,미암기,2010-11-03 11:20:32
side effect,부작용|후유증,,미암기,2010-11-03 11:18:46
medicine,의학|약|의사직|의술,,미암기,2010-11-03 11:18:46
recommend,권고하다|추천하다|건의하다|제시하다,,미암기,2010-11-03 11:18:46
aspirin,아스피린|그 정제|진통제,,미암기,2010-11-03 11:18:46
digestion,소화|소화력|숙고,,미암기,2010-11-01 17:56:23
physician,의사,,미암기,2010-11-01 17:56:23
exactly,정확히|바로|그렇소|확실히|딱,,미암기,2010-11-01 17:56:23
quite,꽤|상당히|상당수의|아주|완전히,"1)완전히, 아주
",미암기,2010-11-01 17:56:23
begin,시작하다|발생하다|착수하다|출발하다,,미암기,2010-11-01 17:56:23
abdomen,복부|배,,미암기,2010-11-01 17:56:23
supper,저녁 식사|만찬|야식,,미암기,2010-10-28 09:28:16
cab,택시,,미암기,2010-10-28 09:26:59
one day,어느 날|하루|언젠가는|당일|한때는,,미암기,2010-10-28 09:26:59
hear,듣다|소식을 듣다|경청하다,,미암기,2010-10-28 09:26:59
smile,미소|미소 짓다|웃다|웃음|스마일,,미암기,2010-10-28 09:26:59
totally,완전히|정말|전혀|전부|전적으로,,미암기,2010-10-27 09:19:12
goods,상품|물품|물건|재화|물자,,미암기,2010-10-27 09:18:43
get out of,나가다|나오다|벗어나다|꺼내다|가다,"1)Ex&gt;The fire captain directed the people to get out of the building. 소방대장은 사람들에게 건물 밖으로 나가라고 지시했습니다.
",미암기,2010-10-27 09:16:15
since,…이후|…때부터|…이래|그 후,,미암기,2010-10-27 09:15:20
bye,안녕|잘가요|인사|부전승|작별,,미암기,2010-10-23 05:14:23
either,또한|어느 쪽|역시|양쪽의|어느 한쪽,"1)[긍정문에서] 둘 중 어느 한쪽의, [부정문에서] 둘 중 어느 쪽
",미암기,2010-10-23 05:14:23
arrive,도착하다|오다|가다|도달하다|도래하다,"1)도착하다, 도달하다.
",미암기,2010-10-23 05:13:42
flight,비행기|비행|항공편|여행|도피,"1)비행, [비행기의] 조종법
",미암기,2010-10-23 05:13:42
board,위원회|…판|이사회|보드|탑승하다,"1)탑승하다, 승차하다, 판자
",미암기,2010-10-23 05:13:42
passport,여권,"1)여권, 입장권, 수단, 보장
",미암기,2010-10-23 05:13:42
police,경찰|치안|공안|폴리스|순경,"1)[보통 the police] 경찰, [집합적] 경찰관, 경관
",미암기,2010-10-23 05:13:42
bus stop,버스 정류장,"1)버스 정류장
",미암기,2010-10-23 05:13:42
around,주변에|주위에|돌아다니는|근처에,"1)주위에, 여기저기에, 약, 대략
",미암기,2010-10-23 05:13:42
police station,경찰서|경찰 본서,"1)경찰서
",미암기,2010-10-23 05:13:42
bus,버스|시내버스,"1)버스, &lt;구어&gt; 여객기
",미암기,2010-10-23 05:13:42
bad,나쁜|좋지 않은|잘못된|심한|해로운,"1)나쁜, 불충분한, 건강 상태가 좋지 않은
",미암기,2010-10-23 05:13:42
traffic,교통|트래픽|차|통행|거래,"1)[사람·차·배·비행기 등의] 교통, [외국 등과의] 교역
",미암기,2010-10-23 05:13:42
or so,…쯤|…정도|…가량,"1)~쯤, ~정도
",미암기,2010-10-23 05:13:42
in,…안에|…으로|…에,"1)~안[속]에서, ~에[서]
",미암기,2010-10-23 05:13:42
take,(시간)이 걸리다|가지다|받다|찍다|데려가다,"1)잡다, 얻다, 데려다 주다.
",미암기,2010-10-23 05:13:42
over there,저쪽에|저쪽으로|유럽으로,"1)저쪽에, 저기에, 저 너머에
",미암기,2010-10-23 05:13:42
follow,따르다|뒤를 잇다|지켜보다|따라가다|추종하다,"1)[순서로서] ~의 뒤를 잇다, 따라가다.
",미암기,2010-10-23 05:13:42
seat,앉다|자리잡다|자리|좌석|의석,"1)[극장·열차 등의] 좌석, 자리
",미암기,2010-10-23 05:13:42
welcome,환영하다|맞이하다|환대하다,"1)어서 오십시오!, 환영, 환영하다, 환영 받는.
",미암기,2010-10-23 05:13:42
all right,좋아|알았어|괜찮아|자|무사한,"1)&lt;구어&gt; 좋아, 알았어, 더할 나위 없는, 건강한
",미암기,2010-10-23 05:13:42
month,달|개월|월,"1)달, 1개월
",미암기,2010-10-23 05:13:42
America,미국|아메리카,,미암기,2010-10-23 05:13:42
station,정거장|방송국|역|기지|주둔하다,"1)위치, [철도의] 정거장, 역, 본부
",미암기,2010-10-23 05:13:42
avenue,…가|길|방법,"1)큰 가로, 대로
",미암기,2010-10-23 05:13:42
get on,타다|무릎 꿇다|말하다|오르다|일어나다,"1)[버스 등에] 타다, 승차하다, 진척되다, [시간·나이·수 등이] ~에 가까워지다, ~와 의좋게 지내다, ~에 오르다.
Ex&gt;They are getting on a truck. 
그들은 트럭에 올라타고 있어요.
",미암기,2010-10-23 05:13:42
heavy,중(重)…|무거운|강력한|과중한|심한,"1)무거운, 대량의, 힘겨운
",미암기,2010-10-23 05:13:08
in front of,앞에|앞길에|눈앞에서|앞쪽,"1)~의 앞에, ~의 정면에
",미암기,2010-10-23 05:13:08
left,being or located on or directed toward the side of the body to the west when facing north,"1)왼쪽의, [정치적으로] 급진적인, 좌측의, 왼쪽
",미암기,2010-10-23 05:13:08
straight,연속한|직선|바로|똑바로|곧장,"1)똑바로, 곧장 나아가는, 직진하는
",미암기,2010-10-23 05:13:08
and then,그리고|나서|다음|후에|그러고는,"1)그리고 나서
",미암기,2010-10-23 05:13:08
block,블록|차단|막다|구역|봉쇄,"1)구획, 덩어리, 막다.
",미암기,2010-10-23 05:13:08
corner,구석|모퉁이|코너|궁지,"1)모퉁이, 구석
",미암기,2010-10-23 05:13:08
turn,되다|돌리다|바꾸다|전환하다|켜다,"1)돌리다, [페이지를] 넘기다, ~의 방향을 바꾸다.
",미암기,2010-10-23 05:13:08
walk on,단역|단역 배우|단역의,"1)계속해서 걷다, [연극에서] 단역을 맡다
Ex&gt;He walked on the pebbles with naked feet. 
그는 맨발로 자갈길을 걸었어요.
",미암기,2010-10-23 05:13:08
library,도서관|서재|장서,"1)도서관, 서재
",미암기,2010-10-23 05:13:08
turn on,켜지다|작동|등돌리다|흥분시키다|틀다,"1)[가스·수도 등을] 틀다, [전등·라디오 등을] 켜다.
Ex&gt;Turn on the television. 
텔레비전을 켜세요.
",미암기,2010-10-23 05:13:08
idea,생각|아이디어|방법|개념|사상,"1)생각, 사고, 의견
",미암기,2010-10-23 05:13:08
interesting,흥미로운|재미있는|놀라운,"1)흥미있는, 재미있는
",미암기,2010-10-23 05:13:08
bored,지루한|싫증난,"1)지루한, 따분한
",미암기,2010-10-23 05:13:08
sun,태양|해|햇볕,"1)태양, 햇빛
",미암기,2010-10-23 05:13:08
boyfriend,남자 친구|애인|보이프렌드,"1)남자 친구, [남자] 애인
",미암기,2010-10-23 05:13:08
as usual,언제나 처럼|여느 때처럼,"1)평소와 같이, 여느 때처럼
",미암기,2010-10-23 05:13:08
spring break,봄방학,"1)[학교의] 봄 방학
",미암기,2010-10-23 05:13:08
plan,계획하다|예정|구상|플랜|의도,"1)계획, 도면, 계획하다.
",미암기,2010-10-23 05:13:08
someday,언젠가|훗날|머지않아,"1)언젠가, 훗날, 머지않아
",미암기,2010-10-23 05:13:08
however,그러나|하지만|그런데|그렇지만,"1)그렇지만, 아무리 ~해도 = no matter how
",미암기,2010-10-23 05:13:08
china,중국|중화 인민 공화국|도자기,,미암기,2010-10-23 05:13:08
japan,일본,,미암기,2010-10-23 05:13:08
travel,여행|이동|교통|운행|달리다,"1)[먼 곳 또는 외국에] 여행하다, 이동하다, 외판하다.
",미암기,2010-10-23 05:13:08
traditional,전통적인|구식의|고풍의,"1)전통의, 고풍의
",미암기,2010-10-23 05:13:08
souvenir,기념품|선물|추억,"1)기념품, 토산품, 선물
",미암기,2010-10-23 05:13:08
absolutely,절대적으로|완전히|전혀|물론|정말로,"1)절대적으로, &lt;구어&gt; 정말 그래.
",미암기,2010-10-23 05:13:08
again,다시|또|다시 한 번,"1)다시, 또 한편
",미암기,2010-10-23 05:13:08
fantastic,멋진|환상적인|이유없는|상상의|이상한,"1)환상적인, 엄청난, 별난
",미암기,2010-10-23 05:13:08
past,과거형|과거의|지난|최근인|옛날의,"1)지나간, 과거의
",미암기,2010-10-23 05:13:08
half,절반|전반전|부분적인|1/2|30분,"1)절반, 2분의 1, 30분
",미암기,2010-10-23 05:13:08
start,시작하다|처음|출발하다|출발점|설립하다,"1)출발하다, 시작하다, 출현하다.
",미암기,2010-10-23 05:13:08
ticket,승차권|티켓|표|입장권|딱지,"1)표, 입장권, 정찰
",미암기,2010-10-23 05:13:08
two,둘,"1)2라는 기호, 한 쌍, 2개
",미암기,2010-10-23 05:13:08
favorite,좋아하는|마음에 드는|인기 있는|우승 후보,"1)매우 좋아하는, 좋아하는 사람[물건]
",미암기,2010-10-23 05:13:08
horror,공포|무서움|참상|호러,"1)공포, 소름 끼칠 듯이 싫은 것
",미암기,2010-10-23 05:13:08
see,보다|알다|만나다|발견하다|이해하다,"1)보다, 구경[관광]하다, 이해하다.
",미암기,2010-10-23 05:13:08
kind,종류|…가지|친절한|부드러운|착한,"1)종류, 본질, 친절한
",미암기,2010-10-23 05:13:08
play,게임하다|역할을 하다|연주하다|경기|(배역을) 맡다,"1)놀다, 경기하다, 상영하다, 처신하다.
",미암기,2010-10-23 05:13:08
bring,일으키다|가지고 다니다|가져다 주다|데려오다|생기다,"1)가져오다, 초래하다, 불러일으키다.
",미암기,2010-10-23 05:13:08
great,위대한|큰|훌륭한|좋은|많은,"1)[크기, 범위 등이] 큰, [수, 양 등이] 많은, 중요한, 훌륭한
",미암기,2010-10-23 05:13:08
nearly,거의|가까이,"1)거의, 밀접하게
",미암기,2010-10-23 05:13:08
touching,…에 관하여|감동적인|남의 마음을 움직이는,"1)감동시키는, 접촉한
",미암기,2010-10-23 05:13:08
movie theater,영화관,"1)영화관
",미암기,2010-10-23 05:13:08
afternoon,오후|점심,"1)오후
",미암기,2010-10-23 05:13:08
her,그녀의|여자|그녀가|그녀를|그녀에게,"1)그 여자를[에게], 그 여자의
",미암기,2010-10-23 05:13:08
study,연구|조사|공부|검토하다|관찰하다,"1)공부, 연구, 세심한
",미암기,2010-10-23 05:13:08
age,나이|시대|노인들|오래되다|오랫동안,"1)나이, 세대, 시대
",미암기,2010-10-23 05:13:08
Greece,그리스,,미암기,2010-10-23 05:13:08
beautiful,아름다운|멋있는|훌륭한|예쁜|화창한,"1)아름다운, 훌륭한, 미, 아름다움
",미암기,2010-10-23 05:13:08
at,…에|…으로|…에서,"1)[한 지점을 나타내어] ~에
",미암기,2010-10-23 05:13:08
lively,생생하게|활발하게|활기차게|밝은,"1)생기[활기]에 넘친, 기운차게
",미암기,2010-10-23 05:13:08
party,정당|당사자|파티|관계자|단체,"1)[사교상의] 모임, 정당, 일행, 당파의, &lt;속어&gt; 연회를 열어 대접하다.
",미암기,2010-10-23 05:13:08
cigarette,담배|궐련,"1)[종이로 만] 담배
",미암기,2010-10-23 05:13:08
smoke,흡연|담배를 피우다|연기|화재|훈제하다,"1)연기, 허무, [담배의] 한 대
",미암기,2010-10-23 05:13:08
take care,돌보다|살펴보다|보호|처리하다|관리,,미암기,2010-10-23 05:13:08
number,수|다수|번호|…을 세다,"1)[전화·집 등의] 번호, 수, 다수, 동료
",미암기,2010-10-23 05:13:08
know,알다|알려져 |인식하다,"1)알다, ~와 친하다, 경험하다, 구별할 수 있다.
",미암기,2010-10-23 05:13:08
good,좋은|잘|훌륭한|착한|괜찮은,"1)[품질·수량·정도 등의 점에서] 좋은, [비·구름이 없는] 맑은
",미암기,2010-10-23 05:11:38
that,저것|것|그|다른,"1)[대화자끼리 이미 알고 있거나 떨어져 있는 것과 사람을 가리켜] 그, 저, 그것, 저것
",미암기,2010-10-23 05:11:38
today,오늘날|오늘|현재|지금|요즘,"1)오늘, 현재, 오늘날[에는]
",미암기,2010-10-23 05:11:38
good morning,안녕하십니까|좋은 아침입니다,,미암기,2010-10-23 05:11:38
frugal,검소한|절약하는|간소한,"1)검소한, 소박한
",미암기,2010-10-23 05:11:38
tree,나무|트리|수목|관계|가계도,"1)나무, [비유, 구어] 궁지에 몰아넣다.
",미암기,2010-10-23 05:11:38
new,새로운|새|신...|최근의|뉴,"1)새로운, 최근
",미암기,2010-10-23 05:11:38
tax,세|세금|과세하다,"1)세금, 부담, ~에 과세하다.
",미암기,2010-10-23 05:11:38
plus,게다가|플러스|또한|이상의|더욱이,"1)~을 더하여, 더하기의, 양[극]의, 플러스 부호
",미암기,2010-10-23 05:11:38
of course,물론|당연히|응|그렇지|사실,"1)물론, 당연히 &lt;구어&gt; ’course, [지적당하거나 생각이 나서] 그렇구나, 아 참
Ex&gt;Yes, of course, but maybe John and some of his engineering staff should hear what you have to say. 
그러죠. 근데 존이랑 기술부 직원들도 당신 이야기를 같이 듣는 게 좋을 것 같아요.
",미암기,2010-10-23 05:11:38
included,포함된|수록|들어간|둘러싸인|…을 포함한,"1)include[포함하다]의 과거, 과거분사 입니다.
",미암기,2010-10-23 05:11:38
one,한번|하나|어느|한 개|유일한,"1)[이미 나온 가산 명사의 반복을 피하여] 하나, 한 개의, [때를 나타내는 명사 앞에서] 어떤, 어느
",미암기,2010-10-23 05:11:38
minute,분|잠깐|적은 양의|의사록,"1)분, 순간
",미암기,2010-10-23 05:11:38
wait,기다리다|지켜 보다|대기하다|기대하다,"1)기다리다, 시중들다, 대기
",미암기,2010-10-23 05:11:38
need,필요|된다|해야 한다|요구|수요,"1)필요, ~을 필요로 하다, ~하지 않으면 안 된다.
",미암기,2010-10-23 05:11:38
by,…에 의하여,"1)가까이에, ~옆에, ~에 의해[서], ~로, ~까지[는]
",미암기,2010-10-23 05:11:38
pay,지불하다|임금|지급하다|갚다|보상하다,"1)지불[지급]하다, 지불, 지급. 급료, 유료의
",미암기,2010-10-23 05:11:38
visa,비자,"1)사증, 비자, ~에 사증[배서]하다.
",미암기,2010-10-23 05:11:38
credit card,신용카드|비자카드,"1)크레디트 카드, 신용구입권
",미암기,2010-10-23 05:11:38
cash,현금|돈|현찰|현금화하다,"1)현금, 현금의, 현금으로 하다.
",미암기,2010-10-23 05:11:38
sale,판매|매각|매매|세일|매출,"1)판매, 매상, 특매
",미암기,2010-10-23 05:11:38
bag,가방|봉지|백|주머니|봉투,"1)[손]가방, 자루에 넣다.
",미암기,2010-10-23 05:11:38
girlfriend,여자 친구|애인|연인,"1)여자친구
",미암기,2010-10-23 05:11:38
help,도움|돕다|도와주다|기여하다,"1)돕다, 권하다, 도움
",미암기,2010-10-23 05:11:38
try on,입어 보다|시험 착용|신어보다,"1)입어보다. 시험해보다.
Ex&gt;Thanks, but I don't like shopping on-line. 
I prefer to come into a real store, where I can try things on before buying them. 
고마워요, 하지만 전 온라인으로 물건 사는 거 안 좋아해요. 
상점에 직접 가서 물건 사기 전에 한 번 입어 보는 게 좋거든요.
",미암기,2010-10-23 05:11:38
black,흑인의|검은|블랙의|흑,"1)검은, 흑인의, 검정, 흑인, 검게 하다.
",미암기,2010-10-23 05:11:38
color,색|색채|색깔|컬러|색상,"1)색, 빛깔의, 채색하다.
",미암기,2010-10-23 05:11:38
shoe,신발|구두,"1)구두, 구두를 신기다.
",미암기,2010-10-23 05:11:38
then,그 이후에|그렇다면|그 당시의|그래서|게다가,"1)그때에, 그 다음에, 게다가, 그러면
",미암기,2010-10-23 05:11:38
rack,짜내다|선반|…걸이|침대,"1)선반, [보통 건물의] 파괴
",미암기,2010-10-23 05:11:38
flour,밀가루|가루,"1)밀가루, ~에 가루를 뿌리다, 가루가 되다.
",미암기,2010-10-23 05:11:38
shop,쇼핑하다|가게|상점|매장|샵,"1)&lt;영&gt; 가게, &lt;미&gt; 공장. 가게에서 물건을 사다.
",미암기,2010-10-23 05:11:38
fun,재미있는|즐거운|놀리다|신나는|장난,"1)재미, &lt;구어&gt; 장난하다, 즐거운
",미암기,2010-10-23 05:11:38
really,정말|사실상|실제로|아주|매우,"1)정말로, 실은, 확실히
",미암기,2010-10-23 05:11:38
can,할 수 있다|캔|통조림,"1)~할 수 있다, ~해도 좋다, 깡통
",미암기,2010-10-23 05:11:38
usually,보통|대개|일반적으로|늘|평소,"1)보통, 늘, 일반적으로, 대개, 평소에[는]
",미암기,2010-10-23 05:11:38
light,빛|밝게하다|조명|광선|등,"1)가벼운, 빛, [말·차 등에서] 내리다.
",미암기,2010-10-23 05:11:38
big,큰|중요한|많이|대단한,"1)큰, 훌륭한, &lt;구어&gt; 잘난 체하여, 중요 인물
",미암기,2010-10-23 05:11:38
yet,아직|그러나|하지만|그런데도|여전히,"1)[부정문, 긍정문에서] 아직 ~않다, [의문문에서] 이미, 벌써
",미암기,2010-10-23 05:11:38
enjoy,즐기다|하세요|누리다|즐겁게|재미있다,"1)즐기다, 누리다.
",미암기,2010-10-23 05:09:22
late,말기의|늦은|늦도록|늦게|최근의,"1)늦은, 최근의, 늦게
",미암기,2010-10-23 05:09:22
wish,바라다|소원|…좋겠어|…싶다|기원하다,"1)희망하다, 바라다.
",미암기,2010-10-23 05:09:22
stay,머무르다|유지하다|체류하다|지내다|보내다,"1)머무르다, ~에 묵다.
",미암기,2010-10-23 05:09:22
dessert,디저트|후식,"1)디저트, 후식, 디저트용의
",미암기,2010-10-23 05:05:31
appetizer,식욕을 돋우는 것|전채|식욕 촉진제,"1)식욕을 돋우는 것, 반주, 전채
",미암기,2010-10-23 05:05:31
lunch,점심|도시락|간이 식당,"1)점심, 점심을 먹다.
",미암기,2010-10-23 05:05:31
much,훨씬|많은|매우|크게|대부분,"1)[불가산 명사 앞에서] 많은, 매우
",미암기,2010-10-23 05:05:31
me,나|나를|나에게|나의,"1)[I의 목적격] 나에게, 나를
",미암기,2010-10-23 05:05:31
dinner,저녁식사|저녁|만찬|정찬,"1)정찬, 저녁식사
",미암기,2010-10-23 05:05:31
free,자유의|무료의|…이 없는|해방시키다|벗어난,"1)자유로운, 한가한, 무료의, 자유롭게 하다.
",미암기,2010-10-23 05:05:31
all,모든|모두|다|전부|전체,"1)[단수 명사 앞에서] 전체의, [성질, 정도를 나타내는 추상명사를 수식하여] 
최대한의, [부정적 뜻의 동사나 전치사 뒤에] 일체의
",미암기,2010-10-23 01:11:50
anything,무엇이든|아무것도|어느 것이든|조금이라도,"1)[긍정문에서] 무엇이든, [부정문에서] 아무것도, [의문문, 조건절에서] 무언가
",미암기,2010-10-23 01:11:49
fry,튀기다|튀김|감자튀김|프라이|망가지다,"1)감자튀김, 기름에 튀기다.
",미암기,2010-10-23 01:11:49
cheeseburger,치즈버거,"1)치즈를 넣은 햄버거
",미암기,2010-10-23 01:11:49
bill,법안|빌|지폐|증권|청구서,"1)계산서, 지폐, 증서, 광고용 포스터
",미암기,2010-10-23 01:11:49
sorry,미안한|죄송한|유감스러운|안됐다|사과하는,"1)[I’m sorry.의 줄임꼴에서] 미안합니다, 슬픈, 유감스러운
",미암기,2010-10-23 01:11:49
so,그래서|그렇게|그렇다면|그러니|따라서,"1)[앞에 나왔거나 또는 문맥상 자명한 사실을 받아] 정말로, 그렇게, 그래서
",미암기,2010-10-23 01:11:49
food,음식|식품|식량|먹이|푸드,"1)음식, 식품, 비료, 양식
",미암기,2010-10-23 01:11:49
Chinese,중국의|중국인|중국어|중국 사람,,미암기,2010-10-23 01:11:49
soak,흡수하다|젖다|담그다|절이다|빨아들이다,"1)적시다, 빨아들이다, 젖다, 스며들다.
",미암기,2010-10-23 01:11:49
forgot,잊었다|까먹었다|두고 갔다|forget의 과거·과거 분사형,"1)forget[잊다]의 과거, 과거분사 입니다.
",미암기,2010-10-23 01:11:49
rice,쌀|벼|밥,"1)쌀, 밥, [식물] 벼
",미암기,2010-10-23 01:11:49
make,…하게 하다|만들다|(돈을) 벌다|(소리를) 내다|이루다,"1)만들다, 준비하다, [돈 등을] 벌다, 만들어 내다.
",미암기,2010-10-23 01:11:49
hungry,배고픈|부족한|기아의|먹고 싶은,"1)배고픈, 불모의, 기근이 든
",미암기,2010-10-23 01:11:49
tasty,맛있는|맛좋은|먹음직스러운|맛난,"1)맛 좋은, 세련된
",미암기,2010-10-23 01:10:44
very,매우|아주|정말|굉장히|가장,"1)[원급의 형용사, 부사의 정도를 강조하여] 대단히, 몹시
",미암기,2010-10-23 01:10:44
tried,노력한|…하려고 한|먹어 본|입어 본,"1)try[시도하다]의 과거, 과거분사 입니다.
",미암기,2010-10-23 01:10:44
miss,놓치다|미스|그리워하다|실종되다|빼먹다,"1)놓치다, 빼놓다, ~양, ~씨
",미암기,2010-10-23 01:10:44
nearby,근처의|인근의|가까운|주변의|근거리,"1)가까이로, 가까이에, 근처에
",미암기,2010-10-23 01:10:44
hotel,호텔,"1)호텔, 여관, 저택, 공공 건물
",미암기,2010-10-23 01:10:44
leave,떠나다|남기다|맡기다|출발하다,"1)[장소, 사람, 물건 등으로부터] 떠나다, ~한 상태로 놓아 두다, 그만두다.
",미암기,2010-10-23 01:10:44
style,스타일|양식|방식|형식|문체,"1)[물건 등의] 종류, [행동 등의 독특한] 방법, [복장 등의] 스타일
",미암기,2010-10-23 01:10:44
like,…같은|좋아하다|…하고 싶은|마치|마찬가지로,"1)[물건, 사람을] 좋아하다, [~와] 같은
",미암기,2010-10-23 01:10:44
best,최고의|가장 …한|최선의|최대의|베스트,"1)가장 좋은, 최대의, 주요한, 제일, 최선
",미암기,2010-10-23 01:10:44
suit,정장|소송|옷|어울리다,"1)어울리다, 적합하다, 정장 한 벌, 소송
",미암기,2010-10-23 01:10:44
