단어,주요뜻,메모,암기여부,저장날짜
direct,직접의|감독하다|연출하다|지시하다,,미암기,2011-03-19 13:54:00
safe,안전한|무사한|금고|세이프의|신중한,,미암기,2011-03-19 13:54:00
dangerous,위험한,,미암기,2011-03-19 13:54:00
vegetable,야채|식물,"1)야채
",미암기,2011-03-13 13:28:35
vase,꽃병|항아리,"1)꽃병
",미암기,2011-03-13 13:28:35
universe,우주|세계,"1)우주
",미암기,2011-03-13 13:28:35
type,유형|종류|양식|타자|타입,"1)타입, 견본, 활자, 타이프라이터로 치다, ~형을 분류하다.
",미암기,2011-03-13 13:28:35
triumph,승리|성공|업적|이기다|수상,,미암기,2011-03-13 13:28:35
trick,속이다|묘기|재주|요령|장난,,미암기,2011-03-13 13:28:35
spirit,정신|영혼|사람|유령|마음,,미암기,2011-03-06 14:45:19
spade,스페이드|삽,"1)삽
",미암기,2011-03-06 14:45:19
solution,해결책|방안|용액|해법|솔루션,,미암기,2011-03-06 14:45:19
snake,뱀|독사|스네이크|구렁이|뱀띠,,미암기,2011-03-06 14:45:19
slave,노예 제도의|노예|혹사당하다,,미암기,2011-03-06 14:45:19
situation,상황|사태|상태|관계|경우,,미암기,2011-03-06 14:45:19
site,사이트|현장|유적지|장소|부지,,미암기,2011-03-06 14:45:19
silk,실크|비단,"1)비단
",미암기,2011-03-06 14:45:19
purpose,목적|목표|의도|용도|명분,,미암기,2011-03-06 08:58:09
pumpkin,호박,"1)호박
",미암기,2011-03-06 08:58:09
pulse,맥박|파동,"1)맥박
",미암기,2011-03-06 08:58:09
pronunciation,발음,"1)발음법
",미암기,2011-03-06 08:58:09
problem,문제|과제|고민|의문|골칫거리,,미암기,2011-03-06 08:58:09
pressure,압력|압박|부담|기압|스트레스,,미암기,2011-03-06 08:58:09
praise,칭찬하다|찬사|높이 평가하다|칭송하다|호평,,미암기,2011-03-06 08:58:09
position,위치|입장|지위|자리|자세,,미암기,2011-03-06 08:58:08
magazine,잡지|지|매거진|무기고,"1)잡지
",미암기,2011-03-05 08:16:36
log,접속하다|벌채하다|통나무|기록하다,"1)통나무
",미암기,2011-03-05 08:16:36
lock,잠그다|갇히다|고정시키다|자물쇠|닫다,,미암기,2011-03-05 08:16:36
load,무게|부담량|싣다|로딩|장전하다,"1)짐을싣다
",미암기,2011-03-05 08:16:36
limit,제한|한계|한도|한정하다|범위,,미암기,2011-03-05 08:16:36
license,면허|허가|자격증|번호판|라이센스,,미암기,2011-03-05 08:16:36
liberty,자유|리버티|해방|멋대로,,미암기,2011-03-05 08:16:36
leaf,잎|나뭇잎|리프|잎사귀,,미암기,2011-03-05 08:16:36
lamb,새끼양|램|양고기|어린 양,,미암기,2011-03-05 08:16:36
horizon,지평선|수평선,"1)수평선
",미암기,2011-03-05 08:16:36
fence,울타리|담|펜싱|펜스|막다,"1)울타리
",미암기,2011-03-04 08:17:13
feather,깃털|가벼운 것,"1)깃털
",미암기,2011-03-04 08:17:13
fault,고장|잘못|결점|단층|사고,,미암기,2011-03-04 08:17:13
express,표현하다|나타내다|고속의|발표하다|급행,,미암기,2011-03-04 08:17:13
exit,출구|나가다|퇴출되다|종료하다,"1)출구
",미암기,2011-03-04 08:17:13
evil,사악한|악|악마|나쁜|해악,,미암기,2011-03-04 08:17:13
error,오차|오류|에러|실수|잘못,,미암기,2011-03-04 08:17:13
envelope,봉투,"1)봉투
",미암기,2011-03-04 08:17:13
enemy,적|적군|원수|적국|적대자,,미암기,2011-03-04 08:17:13
duck,오리|덕|요강|회피하다,"1)오리
",미암기,2011-03-04 08:17:12
drum,드럼|북,"1)북
",미암기,2011-03-04 08:17:12
bottom,바닥|아래|밑바닥|하위|최하의,,미암기,2011-03-03 18:17:48
bottle,병|우유|병에 담다|용기|술,"1)병, 술, &lt;영 속어&gt;용기
",미암기,2011-03-03 18:17:48
bone,뼈|골격|유골,"1)뼈
",미암기,2011-03-03 18:17:48
blood,혈액|피|혈통|혈연|유혈,,미암기,2011-03-03 18:17:48
blanket,담요|뒤덮다|전면적인|흥을 깨는|층(層),,미암기,2011-03-03 18:17:48
birth,탄생|출생|태어남|출산|낳다,"1)탄생
",미암기,2011-03-03 18:17:48
bike,자전거|오토바이,,미암기,2011-03-03 18:17:48
bee,벌,"1)꿀벌
",미암기,2011-03-03 18:17:48
beauty,아름다움|미용의|미|미인|미녀,,미암기,2011-03-03 18:17:48
beast,비스트|짐승|야수|동물|괴물같은,,미암기,2011-03-03 18:17:48
bat,박쥐|배트|방망이|치다|타석,,미암기,2011-03-03 18:17:48
base,기반|기초|위치하다|기지|…로 만든,,미암기,2011-03-03 18:17:48
instead,대신에|보다|하지만|그렇기는커녕|아닌,,미암기,2011-03-03 08:51:09
