,title,link,image,author,price,discount,publisher,pubdate,isbn,description
203,나혼자 파이썬,http://book.naver.com/bookdb/book_detail.php?bid=17524833,https://bookthumb-phinf.pstatic.net/cover/175/248/17524833.jpg?type=m1&udate=20210509,이창현,15000,13500,디지털북스,20201210,8960883638 9788960883635,파이썬 코딩의 기초를 단계별로 배운다 내 취향의 영화를 컴퓨터가 자동으로 찾아주는 시대 더 늦기 전에 우리는 컴퓨터의 말을 이해해야 한다 우리는 그리고 파이썬은 코딩 입문에 가장 적합한 도구이다 파이썬은 코딩을 배우려는 사람에게 가장 친절한 도구이다 문법이 c 과 자바 에 비해 쉽고 
204,파이썬 프로그래밍으로 지루한 작업 자동화하기,http://book.naver.com/bookdb/book_detail.php?bid=11659351,https://bookthumb-phinf.pstatic.net/cover/116/593/11659351.jpg?type=m1&udate=20190202,알 스웨이가트,30000,27000,스포트라잇북,20170222,1187431044 9791187431046,이 책은 파이썬 프로그래밍 기초와 함께 꼭 필요하지만 너무나 단순하고 지루한 작업을 자동화할 수 있는 방법을 배우게 해 준다 수작업으로 몇 시간이 걸리는 일을 단 몇 분만에 해치우는 파이썬 프로그래밍으로 다음과 같은 일을 할 수 있다 한 개 혹은 여러 개의 파일에서 텍스트를 찾는다 파일이나 폴더를 
205,파이썬으로 배우는 소프트웨어 디자인 디자인 사고 및 컴퓨팅 사고의 이해와 응용 ,http://book.naver.com/bookdb/book_detail.php?bid=16294424,https://bookthumb-phinf.pstatic.net/cover/162/944/16294424.jpg?type=m1&udate=20200318,김홍준,20000,19000,인피니티북스,20200227,1185578617 9791185578613,통합적인 사고의 개발 파이썬과 함께 4차 산업혁명 시대에서 필요한 것은 인공지능이 해결할 수 없는 문제를 분석하고 분해하는 등의 작업을 통해 문제를 이 책은 특히 이러한 디자인 사고와 컴퓨팅 사고를 키울 수 있도록 내용을 구성하고 모든 학과의 학생들이 배울 수 있도록 비교적 입문하기 쉬운 파이썬을 
206,파이썬과 함께하는 선형대수 코드,http://book.naver.com/bookdb/book_detail.php?bid=18832029,https://bookthumb-phinf.pstatic.net/cover/188/320/18832029.jpg?type=m1&udate=20210325,손현석,11700,,토마토마트,20210322,1188217615 9791188217618,들어가며 파이썬은 데이터 분석과 예측에 가장 인기있는 언어 중의 하나입니다 더구나 최근에 각광받는 딥러닝의 유용한 툴인 tensorflow와 pytorch 등은 파이썬에 의해 완벽하게 구현됩니다 이들 언어에서 데이터의 기본형태는 배열 형태로서 파이썬의 중요한 패키지인 numpy에 의해 생성됩니다 특히 
207,유튜버 주간컴공 지마 참깨의 프리패스 파이썬 처음 배우는 프로그래밍 ,http://book.naver.com/bookdb/book_detail.php?bid=16779057,https://bookthumb-phinf.pstatic.net/cover/167/790/16779057.jpg?type=m1&udate=20200930,지마,18000,16200,고시고시(더배움),20210104,1160091242 9791160091243, 이 책의 특징 1 손코딩 예제 수록 2 99 압도적인 긍정평가 3 기초공부를 마친 뒤에도 추가 학습영상 지원
208,파이썬 코드로 구성한 쉬운 미적분학,http://book.naver.com/bookdb/book_detail.php?bid=18832030,https://bookthumb-phinf.pstatic.net/cover/188/320/18832030.jpg?type=m1&udate=20210325,손현석,10800,,토마토마트,20210322,1188217623 9791188217625,들어가며 이 책은 Silvanus Thompson의 책 Calculus Made Easy 를 파이썬의 sympy 패키지에 포함된 다양한 미적분 함수와 메서드들을 적용하여 다시 언어인 파이썬을 사용하여 계산할 수 있는 코드들을 포함하고 있습니다 실제로는 파이썬의 수학 라이브러리인 sympy의 미 적분 함수들과 다른 
209,마인크래프트로 배우는 파이썬 프로그래밍,http://book.naver.com/bookdb/book_detail.php?bid=10882789,https://bookthumb-phinf.pstatic.net/cover/108/827/10882789.jpg?type=m1&udate=20190321,크레이그 리처드슨,25000,22500,제이펍,20160810,1185890602 9791185890609,프로그래밍에 대한 핵심 개념을 파이썬과 함께 재밌는 게임과 최고의 언어로 배우는 프로그래밍 기초 마인크래프트 버전 1 13 대응 파이썬 버전 3 7 대응 마인크래프트에서 크리퍼들을 이 책과 함께하면 파이썬의 힘으로 이 모든 것이 가능해진다 수백만 명의 전문 프로그래머들에게 
210,비즈니스 머신러닝 in 파이썬 Step by Step ,http://book.naver.com/bookdb/book_detail.php?bid=16345889,https://bookthumb-phinf.pstatic.net/cover/163/458/16345889.jpg?type=m1&udate=20200602,김형수,32000,28800,프레딕스,20200530,1195511744 9791195511747,비즈니스 관점에서 풀어 쓴 파이썬 머신러닝 지침서본서는 파이썬을 전혀 모르는 사람도 프로그래밍을 전혀 해보지 않은 사람도 단계적으로 STEP BY STEP 따라하다 보면 파이썬 기반의 머신러닝을 용이하게 다룰 수 있도록 도와주는 이론서이자 실무 지침서입니다 컴퓨터공학이나 수학적인 관점에서 집필된 
211,파이썬 입문 3step으로 확실하게 배우는 ,http://book.naver.com/bookdb/book_detail.php?bid=17763524,https://bookthumb-phinf.pstatic.net/cover/177/635/17763524.jpg?type=m1&udate=20210121,야마다 요시히로|야마다 나미,25000,22500,시그마프레스,20210105,1162262974 9791162262979,가장 쉬운 파이썬 입문서 프로그래밍의 기본을 알기 쉽게 해설하다 파이썬은 심플하지만 본격적인 애플리케이션을 만들 수 있는 언어이다 구글이나 이 책에서는 파이썬의 기초를 예습 체험 이해 의 3STEP 레슨 형식으로 해설하고 있으며 각 장마다 준비된 연습문제를 통해 학습 이해도를 
212,파이썬 Python 다양한 예제로 배우는 완전 쉬운 ,http://book.naver.com/bookdb/book_detail.php?bid=11542441,https://bookthumb-phinf.pstatic.net/cover/115/424/11542441.jpg?type=m1&udate=20170113,박병기,23000,20700,아티오,20170130,8998955954 9788998955953, 다양한 예제로 배우는 완전 쉬운 파이썬 PYTHON 은 파이썬을 처음 접하는 사람이 기초를 쉽게 익히고 실무에 응용할 수 있도록 핵심 개념별로 126개의 특히 필자의 현장 교육 경험을 바탕삼아 1 1 개인 지도하듯이 편안한 구어체를 이용하여 지루하지 않게 파이썬을 공부할 수 있도록 배려했다 또한 
213,모두의 데이터 과학 with 파이썬 수집 정리 탐구 예측 가치로 배우는 기초 데이터 과학 ,http://book.naver.com/bookdb/book_detail.php?bid=12231444,https://bookthumb-phinf.pstatic.net/cover/122/314/12231444.jpg?type=m1&udate=20210509,드미트리 지노비에프,22000,19800,길벗,20170714,1160502153 9791160502152, 모두의 데이터 과학 with 파이썬 은 초보자와 비전공자가 배울 수 있게 최대한 전문 용어와 복잡한 수학을 사용하지 않고 설명한다 먼저 데이터 과학의 개념을 알아보고 데이터 과학에서 주로 사용하는 파이썬의 핵심 내용을 살펴본다 또한 HTML CSV JSON 파일 수치형 및 테이블형 
